Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Decline Dumbbell Leg Curl,Strength,Hamstrings,Curl,Intermediate,Dumbbell,"Perform a leg curl with dumbbells on a decline bench, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged and back straight.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",decline dumbbell leg curl,strength,hamstrings,dumbbell,intermediate,"Perform a leg curl with dumbbells on a decline bench, focusing on your hamstrings.",6.0
Low Cable Tricep Kickback,Strength,Triceps,Kickback,Intermediate,Cable Machine,"Perform a tricep kickback with a low cable machine, focusing on your triceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",low cable tricep kickback,strength,triceps,cable machine,intermediate,"Perform a tricep kickback with a low cable machine, focusing on your triceps.",6.0
Banded Shoulder External Rotation,Strength,Shoulders,Rotation,Intermediate,Resistance Band,"Perform external rotation with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",banded shoulder external rotation,strength,shoulders,resistance band,intermediate,"Perform external rotation with a resistance band, focusing on your shoulders.",6.0
Banded Shoulder Flexion,Strength,Shoulders,Flexion,Intermediate,Resistance Band,"Perform shoulder flexion with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",banded shoulder flexion,strength,shoulders,resistance band,intermediate,"Perform shoulder flexion with a resistance band, focusing on your shoulders.",6.0
Banded Shoulder Extension,Strength,Shoulders,Extension,Intermediate,Resistance Band,"Perform shoulder extension with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Deltoids,Pectorals,"Core, Scapular Stabilizers",banded shoulder extension,strength,shoulders,resistance band,intermediate,"Perform shoulder extension with a resistance band, focusing on your shoulders.",6.0
Banded Shoulder Adduction,Strength,Shoulders,Adduction,Intermediate,Resistance Band,"Perform shoulder adduction with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",banded shoulder adduction,strength,shoulders,resistance band,intermediate,"Perform shoulder adduction with a resistance band, focusing on your shoulders.",6.0
Kettlebell Front Squat,Strength,Legs,Squat,Intermediate,Kettlebell,"Perform a front squat with a kettlebell, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",kettlebell front squat,strength,legs,kettlebell,intermediate,"Perform a front squat with a kettlebell, focusing on your legs.",6.0
Single Knee To Chest,Flexibility,Hips,Stretch,Beginner,,Pull one knee to your chest to stretch your hips.,Increase stretch time for more intensity.,Keep your core engaged.,Improves hip flexibility.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back",single knee to chest,flexibility,hips,nan,beginner,Pull one knee to your chest to stretch your hips.,3.0
Pistol Squat to Box,Strength,Legs,Squat,Advanced,Box,"Perform a pistol squat to a box, focusing on your legs.",Use different heights for variation.,Keep your core engaged and back straight.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",pistol squat to box,strength,legs,box,advanced,"Perform a pistol squat to a box, focusing on your legs.",6.0
Frog Pump,Strength,Glutes,Pump,Intermediate,,Perform a frog pump to strengthen the glutes.,Use different speeds for variation.,Keep your core engaged and back flat.,Builds glute strength.,Controlled.,Main workout,Stability,Glutes,,Hip Flexors,"Core, Lower Back",frog pump,strength,glutes,nan,intermediate,Perform a frog pump to strengthen the glutes.,6.0
Landmine Deadlift,Strength,Legs,Deadlift,Intermediate,Landmine,"Perform a deadlift with a landmine, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",landmine deadlift,strength,legs,landmine,intermediate,"Perform a deadlift with a landmine, focusing on your legs.",6.0
Landmine T-Bar Row,Strength,Back,Row,Intermediate,Landmine,"Perform a T-bar row with a landmine, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",landmine t-bar row,strength,back,landmine,intermediate,"Perform a T-bar row with a landmine, focusing on your back.",6.0
1-2 Stick Drill,Strength,Legs,Drill,Intermediate,,"Perform a 1-2 stick drill, focusing on your leg strength and coordination.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",1-2 stick drill,strength,legs,nan,intermediate,"Perform a 1-2 stick drill, focusing on your leg strength and coordination.",6.0
Cable Twisting Standing High Row,Strength,Back,Row,Intermediate,Cable Machine,"Perform a high row with a cable machine while twisting, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",cable twisting standing high row,strength,back,cable machine,intermediate,"Perform a high row with a cable machine while twisting, focusing on your back.",6.0
Band Biceps Curl,Strength,Biceps,Curl,Intermediate,Resistance Band,"Perform a biceps curl with a resistance band, focusing on your biceps.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",band biceps curl,strength,biceps,resistance band,intermediate,"Perform a biceps curl with a resistance band, focusing on your biceps.",6.0
Band Skull Crusher,Strength,Triceps,Extension,Intermediate,Resistance Band,"Perform a skull crusher with a resistance band, focusing on your triceps.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",band skull crusher,strength,triceps,resistance band,intermediate,"Perform a skull crusher with a resistance band, focusing on your triceps.",6.0
Single Arm Twisting Seated Cable Row,Strength,Back,Row,Intermediate,Cable Machine,"Perform a seated cable row with one arm while twisting, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",single arm twisting seated cable row,strength,back,cable machine,intermediate,"Perform a seated cable row with one arm while twisting, focusing on your back.",6.0
Band Alternating Lat Pulldown,Strength,Back,Pulldown,Intermediate,Resistance Band,"Perform an alternating lat pulldown with a resistance band, focusing on your back.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",band alternating lat pulldown,strength,back,resistance band,intermediate,"Perform an alternating lat pulldown with a resistance band, focusing on your back.",6.0
Band Alternating Low Row with Twist,Strength,Back,Row,Intermediate,Resistance Band,"Perform an alternating low row with a twist using a resistance band, focusing on your back.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds back strength and stability.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",band alternating low row with twist,strength,back,resistance band,intermediate,"Perform an alternating low row with a twist using a resistance band, focusing on your back.",6.0
Band Alternate Incline Chest Press,Strength,Chest,Press,Intermediate,Resistance Band,"Perform an alternating incline chest press with a resistance band, focusing on your chest.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",band alternate incline chest press,strength,chest,resistance band,intermediate,"Perform an alternating incline chest press with a resistance band, focusing on your chest.",6.0
Band Single Arm Shoulder Press,Strength,Shoulders,Press,Intermediate,Resistance Band,"Perform a shoulder press with one arm using a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",band single arm shoulder press,strength,shoulders,resistance band,intermediate,"Perform a shoulder press with one arm using a resistance band, focusing on your shoulders.",6.0
Band Seated Hip External Rotation,Strength,Hips,Rotation,Intermediate,Resistance Band,"Perform a hip external rotation with a resistance band while seated, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Hip External Rotators,,Hip Internal Rotators,"Core, Lower Back",band seated hip external rotation,strength,hips,resistance band,intermediate,"Perform a hip external rotation with a resistance band while seated, focusing on your hips.",6.0
Band Seated Hip Internal Rotation,Strength,Hips,Rotation,Intermediate,Resistance Band,"Perform a hip internal rotation with a resistance band while seated, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Hip Internal Rotators,,Hip External Rotators,"Core, Lower Back",band seated hip internal rotation,strength,hips,resistance band,intermediate,"Perform a hip internal rotation with a resistance band while seated, focusing on your hips.",6.0
Band Seated Row,Strength,Back,Row,Intermediate,Resistance Band,"Perform a seated row with a resistance band, focusing on your back.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",band seated row,strength,back,resistance band,intermediate,"Perform a seated row with a resistance band, focusing on your back.",6.0
Band Pushdown,Strength,Triceps,Pushdown,Intermediate,Resistance Band,"Perform a tricep pushdown with a resistance band, focusing on your triceps.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",band pushdown,strength,triceps,resistance band,intermediate,"Perform a tricep pushdown with a resistance band, focusing on your triceps.",6.0
Landmine Squat,Strength,Legs,Squat,Intermediate,Landmine,"Perform a squat with a landmine, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",landmine squat,strength,legs,landmine,intermediate,"Perform a squat with a landmine, focusing on your legs.",6.0
